,Zone,Time,Value
0,SCE,1,134.69598500224808
1,SCE,2,158.8350504151646
2,SCE,3,165.11120742225472
3,SCE,4,87.38341679377453
4,SCE,5,52.140381291184575
5,SCE,6,50.69203736642235
6,SCE,7,39.10528596838843
7,SCE,8,34.76025419416562
8,SCE,9,38.62250466015564
9,SCE,10,50.69203736642235
10,SCE,11,60.8304448397579
11,SCE,12,110.55691958997008
12,SCE,13,193.59530460881942
13,SCE,14,275.6681270115863
14,SCE,15,374.15551389541736
15,SCE,16,398.7773606163751
16,SCE,17,486.6435587181909
17,SCE,18,505.95481104814104
18,SCE,19,391.535640992564
19,SCE,20,336.98135315964083
20,SCE,21,252.01184290734952
21,SCE,22,177.663521436435
22,SCE,23,154.0072373321982
23,SCE,24,119.72976444658465
24,SDGE,1,21.39701845087795
25,SDGE,2,25.231609571158963
26,SDGE,3,26.228603262389424
27,SDGE,4,13.881219855261058
28,SDGE,5,8.282716819693382
29,SDGE,6,8.05264135247855
30,SDGE,7,6.212037614770036
31,SDGE,8,5.521811213135685
32,SDGE,9,6.135345792368474
33,SDGE,10,8.05264135247855
34,SDGE,11,9.663169622982375
35,SDGE,12,17.56242733069837
36,SDGE,13,30.7534207842135
37,SDGE,14,43.79103059298637
38,SDGE,15,59.436162363594946
39,SDGE,16,63.34744530624709
40,SDGE,17,77.30535698387928
41,SDGE,18,80.37302988004323
42,SDGE,19,62.19706797017293
43,SDGE,20,53.53089203838044
44,SDGE,21,40.03313129517792
45,SDGE,22,28.22259064485035
46,SDGE,23,24.464691347041903
47,SDGE,24,19.0195719563585
48,PGE_bay,1,35.77862101622215
49,PGE_bay,2,42.1905602665281
50,PGE_bay,3,43.85766447153641
51,PGE_bay,4,23.211220085846357
52,PGE_bay,5,13.849788780470902
53,PGE_bay,6,13.465072425455936
54,PGE_bay,7,10.387341585353175
55,PGE_bay,8,9.233192520325243
56,PGE_bay,9,10.259102800353842
57,PGE_bay,10,13.465072425455936
58,PGE_bay,11,16.15808691056069
59,PGE_bay,12,29.3666817660858
60,PGE_bay,13,51.42375278671766
61,PGE_bay,14,73.22434623745261
62,PGE_bay,15,99.38505837847023
63,PGE_bay,16,105.92523641372463
64,PGE_bay,17,129.26469528451946
65,PGE_bay,18,134.39424668466245
66,PGE_bay,19,104.00165463864981
67,PGE_bay,20,89.5106719330296
68,PGE_bay,21,66.94064577226472
69,PGE_bay,22,47.191872881553046
70,PGE_bay,23,40.90817241636515
71,PGE_bay,24,31.803218681124047
72,PGE_valley,1,19.08193120865181
73,PGE_valley,2,22.50163214214832
74,PGE_valley,3,23.39075438481942
75,PGE_valley,4,12.379317379118056
76,PGE_valley,5,7.386554016251147
77,PGE_valley,6,7.181371960243165
78,PGE_valley,7,5.53991551218836
79,PGE_valley,8,4.924369344173463
80,PGE_valley,9,5.471521493522049
81,PGE_valley,10,7.181371960243165
82,PGE_valley,11,8.617646352299035
83,PGE_valley,12,15.66223027524576
84,PGE_valley,13,27.426001486249415
85,PGE_valley,14,39.052984659974726
86,PGE_valley,15,53.005364468517456
87,PGE_valley,16,56.49345942065314
88,PGE_valley,17,68.94117081841037
89,PGE_valley,18,71.67693156515331
90,PGE_valley,19,55.46754914061324
91,PGE_valley,20,47.739025030949115
92,PGE_valley,21,35.701677745207846
93,PGE_valley,22,25.168998870161623
94,PGE_valley,23,21.817691955394746
95,PGE_valley,24,16.961716629932823
96,PNW,1,233.15443207299998
97,PNW,2,294.42059373
98,PNW,3,212.478292563
99,PNW,4,171.149835433
100,PNW,5,168.410485249
101,PNW,6,140.183268131
102,PNW,7,191.825974943
103,PNW,8,217.81407067700002
104,PNW,9,152.045846178
105,PNW,10,191.039899815
106,PNW,11,241.658327135
107,PNW,12,282.700939755
108,PNW,13,259.166347879
109,PNW,14,320.646890193
110,PNW,15,294.897002458
111,PNW,16,341.89472417400003
112,PNW,17,337.464121553
113,PNW,18,834.0011216519999
114,PNW,19,2093.10174523
115,PNW,20,2668.80595621
116,PNW,21,2964.69151259
117,PNW,22,3607.89095333
118,PNW,23,5220.84414489
119,PNW,24,5618.6811689999995
120,SCE,25,984.9019519191221
121,SCE,26,1171.208997489059
122,SCE,27,1233.6290050830728
123,SCE,28,1134.0428860956436
124,SCE,29,1115.936319008181
125,SCE,30,967.2718734345194
126,SCE,31,895.7985822967743
127,SCE,32,931.5352278624543
128,SCE,33,841.9553696372465
129,SCE,34,841.4788810280014
130,SCE,35,801.9303265947456
131,SCE,36,588.4634303904223
132,SCE,37,354.5075240568806
133,SCE,38,291.6110278536216
134,SCE,39,246.344610131134
135,SCE,40,285.41667595450616
136,SCE,41,266.35713165046894
137,SCE,42,283.03423291658135
138,SCE,43,299.2348455747256
139,SCE,44,334.49500253754576
140,SCE,45,303.52324304324577
141,SCE,46,283.03423291658135
142,SCE,47,268.73957468839376
143,SCE,48,296.8524025368008
144,SDGE,25,156.45577882048553
145,SDGE,26,186.05142928862657
146,SDGE,27,195.96710757830064
147,SDGE,28,180.14743763498504
148,SDGE,29,177.27113400911207
149,SDGE,30,153.65516739454605
150,SDGE,31,142.30133729193548
151,SDGE,32,147.97825234273364
152,SDGE,33,133.74811861425007
153,SDGE,34,133.6724264133023
154,SDGE,35,127.38997375593615
155,SDGE,36,93.47986784847855
156,SDGE,37,56.31499731111906
157,SDGE,38,46.323626820497175
158,SDGE,39,39.132867755206185
159,SDGE,40,45.33962821152311
160,SDGE,41,42.31194018405886
161,SDGE,42,44.961167208102765
162,SDGE,43,47.53470203140173
163,SDGE,44,53.13592488226639
164,SDGE,45,48.21593183759894
165,SDGE,46,44.961167208102765
166,SDGE,47,42.69040118747922
167,SDGE,48,47.15624102798138
168,PGE_bay,25,261.6145809785168
169,PGE_bay,26,311.10238995803127
170,PGE_bay,27,327.6827044751912
171,PGE_bay,28,301.2301416191553
172,PGE_bay,29,296.42058473654805
173,PGE_bay,30,256.9315913810442
174,PGE_bay,31,237.94649842258067
175,PGE_bay,32,247.43904490096443
176,PGE_bay,33,223.64439505989358
177,PGE_bay,34,223.51782777306286
178,PGE_bay,35,213.0127430017293
179,PGE_bay,36,156.31059869745593
180,PGE_bay,37,94.16606107760892
181,PGE_bay,38,77.45917927361822
182,PGE_bay,39,65.43528706608247
183,PGE_bay,40,75.8138045504157
184,PGE_bay,41,70.7511130946558
185,PGE_bay,42,75.18096811846692
186,PGE_bay,43,79.4842558557865
187,PGE_bay,44,88.85023504903559
188,PGE_bay,45,80.62336143336215
189,PGE_bay,46,75.18096811846692
190,PGE_bay,47,71.38394952660458
191,PGE_bay,48,78.85141942383771
192,PGE_valley,25,139.5277765218756
193,PGE_valley,26,165.92127464428336
194,PGE_valley,27,174.7641090534353
195,PGE_valley,28,160.65607553021616
196,PGE_valley,29,158.09097852615895
197,PGE_valley,30,137.03018206989026
198,PGE_valley,31,126.90479915870968
199,PGE_valley,32,131.9674906138477
200,PGE_valley,33,119.2770106986099
201,PGE_valley,34,119.20950814563354
202,PGE_valley,35,113.60679626758895
203,PGE_valley,36,83.36565263864316
204,PGE_valley,37,50.22189924139142
205,PGE_valley,38,41.31156227926305
206,PGE_valley,39,34.89881976857732
207,PGE_valley,40,40.43402909355503
208,PGE_valley,41,37.73392698381643
209,PGE_valley,42,40.096516329849024
210,PGE_valley,43,42.39160312308613
211,PGE_valley,44,47.386792026152314
212,PGE_valley,45,42.999126097793145
213,PGE_valley,46,40.096516329849024
214,PGE_valley,47,38.07143974752245
215,PGE_valley,48,42.05409035938011
216,PNW,25,719.464897774
217,PNW,26,631.043803582
218,PNW,27,616.863719175
219,PNW,28,393.478578949
220,PNW,29,239.947738698
221,PNW,30,263.87321868099997
222,PNW,31,205.781358211
223,PNW,32,188.389114567
224,PNW,33,187.02677474400002
225,PNW,34,234.811566672
226,PNW,35,214.32141042400002
227,PNW,36,248.42079509299998
228,PNW,37,239.464635375
229,PNW,38,307.993516701
230,PNW,39,332.62722583
231,PNW,40,266.155920454
232,PNW,41,377.78555519300005
233,PNW,42,842.912824497
234,PNW,43,1616.37826043
235,PNW,44,2237.13627231
236,PNW,45,3035.46761402
237,PNW,46,3720.59288301
238,PNW,47,4815.31212136
239,PNW,48,5852.90511043
240,SCE,49,954.4896704532093
241,SCE,50,1103.2791962562023
242,SCE,51,1121.7563269129364
243,SCE,52,1166.0041924278019
244,SCE,53,1023.0495499897573
245,SCE,54,963.7282357783838
246,SCE,55,897.1133173592285
247,SCE,56,867.4526602535417
248,SCE,57,805.7001446438311
249,SCE,58,601.4792268706352
250,SCE,59,496.45132630156303
251,SCE,60,415.7354397528966
252,SCE,61,436.15753153021615
253,SCE,62,600.0205060297174
254,SCE,63,489.1577220956967
255,SCE,64,540.6991918189824
256,SCE,65,502.7724499468174
257,SCE,66,466.30442891620885
258,SCE,67,362.7352491880546
259,SCE,68,245.55134160877952
260,SCE,69,139.064720198151
261,SCE,70,80.71588654866645
262,SCE,71,111.34902421432659
263,SCE,72,113.78022561649486
264,SDGE,49,151.62466119178586
265,SDGE,50,175.2604973219488
266,SDGE,51,178.19566651481543
267,SDGE,52,185.2246243179581
268,SDGE,53,162.51568372233123
269,SDGE,54,153.09224578771202
270,SDGE,55,142.51018843466912
271,SDGE,56,137.7984694673595
272,SDGE,57,127.98882506060859
273,SDGE,58,95.5474813518457
274,SDGE,59,78.86336173019622
275,SDGE,60,66.0413068357466
276,SDGE,61,69.28544120662288
277,SDGE,62,95.3157574682624
278,SDGE,63,77.70474231207683
279,SDGE,64,85.8923195337446
280,SDGE,65,79.86749855926006
281,SDGE,66,74.07440146846027
282,SDGE,67,57.622005730394086
283,SDGE,68,39.00685374514467
284,SDGE,69,22.091010239810444
285,SDGE,70,12.822054894449618
286,SDGE,71,17.68825645071334
287,SDGE,72,18.07446292345361
288,PGE_bay,49,253.5363187141337
289,PGE_bay,50,293.0585365055537
290,PGE_bay,51,297.96652433624877
291,PGE_bay,52,309.71986361363486
292,PGE_bay,53,271.7475367160293
293,PGE_bay,54,255.9903126286332
294,PGE_bay,55,238.29572492354507
295,PGE_bay,56,230.41711287984702
296,PGE_bay,57,214.01410092101764
297,PGE_bay,58,159.76791963751248
298,PGE_bay,59,131.86988354885267
299,PGE_bay,60,110.42972618436315
300,PGE_bay,61,115.85434431271366
301,PGE_bay,62,159.38044691414368
302,PGE_bay,63,129.93251993166945
303,PGE_bay,64,143.62322282691719
304,PGE_bay,65,133.54893201712338
305,PGE_bay,66,123.86211393086798
306,PGE_bay,67,96.351550565577
307,PGE_bay,68,65.22457511483206
308,PGE_bay,69,36.939066302633854
309,PGE_bay,70,21.440157364489526
310,PGE_bay,71,29.577084556930497
311,PGE_bay,72,30.222872429381447
312,PGE_valley,49,135.2193699808713
313,PGE_valley,50,156.29788613629532
314,PGE_valley,51,158.91547964599934
315,PGE_valley,52,165.18392726060526
316,PGE_valley,53,144.9320195818823
317,PGE_valley,54,136.52816673527104
318,PGE_valley,55,127.09105329255738
319,PGE_valley,56,122.88912686925174
320,PGE_valley,57,114.14085382454273
321,PGE_valley,58,85.20955714000665
322,PGE_valley,59,70.33060455938809
323,PGE_valley,60,58.895853964993684
324,PGE_valley,61,61.78898363344729
325,PGE_valley,62,85.00290502087663
326,PGE_valley,63,69.29734396355704
327,PGE_valley,64,76.59905217435583
328,PGE_valley,65,71.22609707579913
329,PGE_valley,66,66.05979409646292
330,PGE_valley,67,51.3874936349744
331,PGE_valley,68,34.786440061243766
332,PGE_valley,69,19.700835361404724
333,PGE_valley,70,11.434750594394414
334,PGE_valley,71,15.774445097029599
335,PGE_valley,72,16.118865295670105
336,PNW,49,0.023319870169900003
337,PNW,50,0.480389323277
338,PNW,51,0.489717273569
339,PNW,52,0.7089240553899999
340,PNW,53,0.0
341,PNW,54,0.0
342,PNW,55,0.0
343,PNW,56,0.011659935085
344,PNW,57,0.0816195455948
345,PNW,58,0.0816195455948
346,PNW,59,0.0
347,PNW,60,0.11659935085
348,PNW,61,0.156243130208
349,PNW,62,0.373117922719
350,PNW,63,0.11659935085
351,PNW,64,0.023319870169900003
352,PNW,65,0.478057338484
353,PNW,66,0.8278553910330001
354,PNW,67,0.16323909119000002
355,PNW,68,0.0
356,PNW,69,0.0
357,PNW,70,0.0
358,PNW,71,0.0
359,PNW,72,0.023319870169900003
360,SCE,73,963.1580426258729
361,SCE,74,1162.9318225580314
362,SCE,75,1395.828716261523
363,SCE,76,1493.12786296721
364,SCE,77,1438.2677057830394
365,SCE,78,1118.4226384282008
366,SCE,79,1036.649951310409
367,SCE,80,915.0260179283006
368,SCE,81,822.902357756169
369,SCE,82,703.3486189823745
370,SCE,83,704.9012649418024
371,SCE,84,822.3848091008979
372,SCE,85,799.6126683839042
373,SCE,86,1136.5368412732957
374,SCE,87,1246.7747042969072
375,SCE,88,1295.9418262986364
376,SCE,89,1224.0025635735285
377,SCE,90,1070.2906137306286
378,SCE,91,1254.020385432391
379,SCE,92,1409.8025298836048
380,SCE,93,1385.9952918624542
381,SCE,94,1239.5290231550382
382,SCE,95,1141.1947791451946
383,SCE,96,1204.335714775391
384,SDGE,73,153.00166822963087
385,SDGE,74,184.73656556260394
386,SDGE,75,221.73320753112736
387,SDGE,76,237.18958239843698
388,SDGE,77,228.47481784574325
389,SDGE,78,177.66609620864648
390,SDGE,79,164.67616414045563
391,SDGE,80,145.35569555631858
392,SDGE,81,130.72146828939142
393,SDGE,82,111.72985874459594
394,SDGE,83,111.97650302460924
395,SDGE,84,130.6392535290489
396,SDGE,85,127.02180409223479
397,SDGE,86,180.543612806435
398,SDGE,87,198.05535667216495
399,SDGE,88,205.865758865148
400,SDGE,89,194.43790723433654
401,SDGE,90,170.02012353533425
402,SDGE,91,199.20636331087462
403,SDGE,92,223.9530060492185
404,SDGE,93,220.17112709273363
405,SDGE,94,196.904350032441
406,SDGE,95,181.28354564546058
407,SDGE,96,191.31374635754906
408,PGE_bay,73,255.8388550724975
409,PGE_bay,74,308.9037653669771
410,PGE_bay,75,370.76700275696703
411,PGE_bay,76,396.6120886006651
412,PGE_bay,77,382.03985934861987
413,PGE_bay,78,297.08101333249084
414,PGE_bay,79,275.3601433168274
415,PGE_bay,80,243.05378601220485
416,PGE_bay,81,218.58343877898238
417,PGE_bay,82,186.82697691719324
418,PGE_bay,83,187.2393985001663
419,PGE_bay,84,218.445964917426
420,PGE_bay,85,212.39711503947456
421,PGE_bay,86,301.89259846321914
422,PGE_bay,87,331.174530828866
423,PGE_bay,88,344.2345476105753
424,PGE_bay,89,325.12568094921846
425,PGE_bay,90,284.29594427219826
426,PGE_bay,91,333.0991648804789
427,PGE_bay,92,374.4787970003326
428,PGE_bay,93,368.1549994009644
429,PGE_bay,94,329.24989677555703
430,PGE_bay,95,303.1298632104423
431,PGE_bay,96,319.9016742372132
432,PGE_valley,73,136.44738937199867
433,PGE_valley,74,164.74867486238776
434,PGE_valley,75,197.74240147038242
435,PGE_valley,76,211.52644725368808
436,PGE_valley,77,203.75459165259724
437,PGE_valley,78,158.44320711066177
438,PGE_valley,79,146.85874310230795
439,PGE_valley,80,129.62868587317593
440,PGE_valley,81,116.57783401545727
441,PGE_valley,82,99.64105435583639
442,PGE_valley,83,99.86101253342201
443,PGE_valley,84,116.5045146226272
444,PGE_valley,85,113.27846135438642
445,PGE_valley,86,161.00938584705023
446,PGE_valley,87,176.62641644206187
447,PGE_valley,88,183.59175872564018
448,PGE_valley,89,173.4003631729165
449,PGE_valley,90,151.62450361183906
450,PGE_valley,91,177.6528879362554
451,PGE_valley,92,199.72202506684403
452,PGE_valley,93,196.34933301384768
453,PGE_valley,94,175.59994494696375
454,PGE_valley,95,161.66926037890255
455,PGE_valley,96,170.61422625984702
456,PNW,73,1478.18953214
457,PNW,74,1497.53310936
458,PNW,75,1614.28722206
459,PNW,76,1924.69623635
460,PNW,77,2154.50930327
461,PNW,78,2282.35219715
462,PNW,79,2445.60647546
463,PNW,80,2608.14698897
464,PNW,81,2598.79979668
465,PNW,82,2611.56362491
466,PNW,83,2553.17339379
467,PNW,84,2148.20101079
468,PNW,85,2089.01810406
469,PNW,86,2239.44023548
470,PNW,87,1953.36963693
471,PNW,88,2234.8243452
472,PNW,89,2139.71299464
473,PNW,90,1931.48939854
474,PNW,91,1581.23137167
475,PNW,92,1424.76586856
476,PNW,93,1399.48445546
477,PNW,94,1419.52475915
478,PNW,95,1215.36007711
479,PNW,96,1216.32294336
