,Zone,Time,Value
187,PGE_bay,44,0.0
188,PGE_bay,45,0.0
189,PGE_bay,46,0.0
190,PGE_bay,47,0.0
191,PGE_bay,48,0.0
192,PGE_valley,25,0.0
193,PGE_valley,26,0.0
194,PGE_valley,27,0.0
195,PGE_valley,28,0.0
196,PGE_valley,29,0.0
197,PGE_valley,30,0.0
198,PGE_valley,31,0.0
199,PGE_valley,32,214.00430075299235
200,PGE_valley,33,922.3283947945866
201,PGE_valley,34,1478.438162244264
202,PGE_valley,35,1744.0596975098615
203,PGE_valley,36,1829.2092960489047
204,PGE_valley,37,1806.9799760763226
205,PGE_valley,38,1775.7082208606564
206,PGE_valley,39,1538.3442957296966
207,PGE_valley,40,979.9739194692482
208,PGE_valley,41,0.0
209,PGE_valley,42,0.0
210,PGE_valley,43,0.0
211,PGE_valley,44,0.0
212,PGE_valley,45,0.0
213,PGE_valley,46,0.0
214,PGE_valley,47,0.0
215,PGE_valley,48,0.0
216,PNW,25,0.0
217,PNW,26,0.0
218,PNW,27,0.0
219,PNW,28,0.0
220,PNW,29,0.0
221,PNW,30,0.0
222,PNW,31,0.0
223,PNW,32,0.0
224,PNW,33,0.0
225,PNW,34,0.0
226,PNW,35,0.0
227,PNW,36,0.0
228,PNW,37,0.0
229,PNW,38,0.0
230,PNW,39,0.0
231,PNW,40,0.0
232,PNW,41,0.0
233,PNW,42,0.0
234,PNW,43,0.0
235,PNW,44,0.0
236,PNW,45,0.0
237,PNW,46,0.0
238,PNW,47,0.0
239,PNW,48,0.0
240,SCE,49,0.0
241,SCE,50,0.0
242,SCE,51,0.0
243,SCE,52,0.0
244,SCE,53,0.0
245,SCE,54,0.0
246,SCE,55,0.0
247,SCE,56,514.1291019672806
248,SCE,57,2240.9530559726263
249,SCE,58,3536.7877442024264
250,SCE,59,3825.3880951208635
251,SCE,60,4062.3844097823608
252,SCE,61,3971.5995311821894
253,SCE,62,4027.981718944401
254,SCE,63,3594.125562265692
255,SCE,64,2208.461625736776
256,SCE,65,0.9556303010544253
257,SCE,66,0.0
258,SCE,67,0.0
259,SCE,68,0.0
260,SCE,69,0.0
261,SCE,70,0.0
262,SCE,71,0.0
263,SCE,72,0.0
264,SDGE,49,0.0
265,SDGE,50,0.0
266,SDGE,51,0.0
267,SDGE,52,0.0
268,SDGE,53,0.0
269,SDGE,54,0.0
270,SDGE,55,0.0
271,SDGE,56,119.93229778618564
272,SDGE,57,522.7532310568872
273,SDGE,58,825.0361228748569
274,SDGE,59,892.3587138254669
275,SDGE,60,947.6434905001398
276,SDGE,61,926.4658542739544
277,SDGE,62,939.6182809828485
278,SDGE,63,838.4114720703424
279,SDGE,64,515.1738665127789
280,SDGE,65,0.2229224865914232
281,SDGE,66,0.0
282,SDGE,67,0.0
283,SDGE,68,0.0
284,SDGE,69,0.0
285,SDGE,70,0.0
286,SDGE,71,0.0
287,SDGE,72,0.0
288,PGE_bay,49,0.0
289,PGE_bay,50,0.0
290,PGE_bay,51,0.0
291,PGE_bay,52,0.0
292,PGE_bay,53,0.0
293,PGE_bay,54,0.0
294,PGE_bay,55,0.0
295,PGE_bay,56,2.52390650056665
296,PGE_bay,57,11.001042274774711
297,PGE_bay,58,17.362412562448277
298,PGE_bay,59,18.77917792150242
299,PGE_bay,60,19.942614375295225
300,PGE_bay,61,19.496943153076202
301,PGE_bay,62,19.773728438454334
302,PGE_bay,63,17.64388912384976
303,PGE_bay,64,10.841538889980537
304,PGE_bay,65,0.004691276023358088
305,PGE_bay,66,0.0
306,PGE_bay,67,0.0
307,PGE_bay,68,0.0
308,PGE_bay,69,0.0
309,PGE_bay,70,0.0
310,PGE_bay,71,0.0
311,PGE_bay,72,0.0
312,PGE_valley,49,0.0
313,PGE_valley,50,0.0
314,PGE_valley,51,0.0
315,PGE_valley,52,0.0
316,PGE_valley,53,0.0
317,PGE_valley,54,0.0
318,PGE_valley,55,0.0
319,PGE_valley,56,245.00588659204405
320,PGE_valley,57,1067.9159926735006
321,PGE_valley,58,1685.440123191738
322,PGE_valley,59,1822.9713086021422
323,PGE_valley,60,1935.910825098103
324,PGE_valley,61,1892.6477038597304
325,PGE_valley,62,1919.5163791551408
326,PGE_valley,63,1712.7641997633414
327,PGE_valley,64,1052.4323492829253
328,PGE_valley,65,0.4554012761933906
329,PGE_valley,66,0.0
330,PGE_valley,67,0.0
331,PGE_valley,68,0.0
332,PGE_valley,69,0.0
333,PGE_valley,70,0.0
334,PGE_valley,71,0.0
335,PGE_valley,72,0.0
336,PNW,49,0.0
337,PNW,50,0.0
338,PNW,51,0.0
339,PNW,52,0.0
340,PNW,53,0.0
341,PNW,54,0.0
342,PNW,55,0.0
343,PNW,56,0.0
344,PNW,57,0.0
345,PNW,58,0.0
346,PNW,59,0.0
347,PNW,60,0.0
348,PNW,61,0.0
349,PNW,62,0.0
350,PNW,63,0.0
351,PNW,64,0.0
352,PNW,65,0.0
353,PNW,66,0.0
354,PNW,67,0.0
355,PNW,68,0.0
356,PNW,69,0.0
357,PNW,70,0.0
358,PNW,71,0.0
359,PNW,72,0.0
360,SCE,73,0.0
361,SCE,74,0.0
362,SCE,75,0.0
363,SCE,76,0.0
364,SCE,77,0.0
365,SCE,78,0.0
366,SCE,79,0.0
367,SCE,80,451.65484977883483
368,SCE,81,1946.5687891876541
369,SCE,82,3120.2352650213875
370,SCE,83,3680.8279922996944
371,SCE,84,3860.535731824372
372,SCE,85,3813.6208794705844
373,SCE,86,3747.6220193796626
374,SCE,87,3246.6668162798987
375,SCE,88,2068.229338511883
376,SCE,89,0.0
377,SCE,90,0.0
378,SCE,91,0.0
379,SCE,92,0.0
380,SCE,93,0.0
381,SCE,94,0.0
382,SCE,95,0.0
383,SCE,96,0.0
384,SDGE,73,0.0
385,SDGE,74,0.0
386,SDGE,75,0.0
387,SDGE,76,0.0
388,SDGE,77,0.0
389,SDGE,78,0.0
390,SDGE,79,0.0
391,SDGE,80,105.35875859386275
392,SDGE,81,454.08141027777464
393,SDGE,82,727.86579000408
394,SDGE,83,858.6367843855469
395,SDGE,84,900.5576988964852
396,SDGE,85,889.6137433383201
397,SDGE,86,874.2180092480195
398,SDGE,87,757.3588227794746
399,SDGE,88,482.46149842013557
400,SDGE,89,0.0
401,SDGE,90,0.0
402,SDGE,91,0.0
403,SDGE,92,0.0
404,SDGE,93,0.0
405,SDGE,94,0.0
406,SDGE,95,0.0
407,SDGE,96,0.0
408,PGE_bay,73,0.0
409,PGE_bay,74,0.0
410,PGE_bay,75,0.0
411,PGE_bay,76,0.0
412,PGE_bay,77,0.0
413,PGE_bay,78,0.0
414,PGE_bay,79,0.0
415,PGE_bay,80,2.2172147170960983
416,PGE_bay,81,9.555883146921213
417,PGE_bay,82,15.317518573741356
418,PGE_bay,83,18.069519234925774
419,PGE_bay,84,18.951720865319643
420,PGE_bay,85,18.721411590128326
421,PGE_bay,86,18.39741718604562
422,PGE_bay,87,15.938182552646778
423,PGE_bay,88,10.153125843603789
424,PGE_bay,89,0.0
425,PGE_bay,90,0.0
