,Generator,Time,Value,Zones,Type,$/MWh
0,DISCOV_1_CHEVRN,1,0.0,PGE_valley,Gas,37.979000000000006
1,DISCOV_1_CHEVRN,2,0.0,PGE_valley,Gas,37.979000000000006
2,DISCOV_1_CHEVRN,3,0.0,PGE_valley,Gas,37.979000000000006
3,DISCOV_1_CHEVRN,4,0.0,PGE_valley,Gas,37.979000000000006
4,DISCOV_1_CHEVRN,5,0.0,PGE_valley,Gas,37.979000000000006
5,DISCOV_1_CHEVRN,6,0.0,PGE_valley,Gas,37.979000000000006
6,DISCOV_1_CHEVRN,7,0.0,PGE_valley,Gas,37.979000000000006
7,DISCOV_1_CHEVRN,8,0.0,PGE_valley,Gas,37.979000000000006
8,DISCOV_1_CHEVRN,9,0.0,PGE_valley,Gas,37.979000000000006
9,DISCOV_1_CHEVRN,10,0.0,PGE_valley,Gas,37.979000000000006
10,DISCOV_1_CHEVRN,11,0.0,PGE_valley,Gas,37.979000000000006
11,DISCOV_1_CHEVRN,12,0.0,PGE_valley,Gas,37.979000000000006
12,DISCOV_1_CHEVRN,13,0.0,PGE_valley,Gas,37.979000000000006
13,DISCOV_1_CHEVRN,14,0.0,PGE_valley,Gas,37.979000000000006
14,DISCOV_1_CHEVRN,15,0.0,PGE_valley,Gas,37.979000000000006
15,DISCOV_1_CHEVRN,16,0.0,PGE_valley,Gas,37.979000000000006
16,DISCOV_1_CHEVRN,17,0.0,PGE_valley,Gas,37.979000000000006
17,DISCOV_1_CHEVRN,18,0.0,PGE_valley,Gas,37.979000000000006
18,DISCOV_1_CHEVRN,19,0.0,PGE_valley,Gas,37.979000000000006
19,DISCOV_1_CHEVRN,20,0.0,PGE_valley,Gas,37.979000000000006
20,DISCOV_1_CHEVRN,21,0.0,PGE_valley,Gas,37.979000000000006
21,DISCOV_1_CHEVRN,22,0.0,PGE_valley,Gas,37.979000000000006
22,DISCOV_1_CHEVRN,23,0.0,PGE_valley,Gas,37.979000000000006
23,DISCOV_1_CHEVRN,24,0.0,PGE_valley,Gas,37.979000000000006
24,CLRMTK_1_QF,1,0.0,PGE_valley,Gas,35.6024
25,CLRMTK_1_QF,2,0.0,PGE_valley,Gas,35.6024
26,CLRMTK_1_QF,3,0.0,PGE_valley,Gas,35.6024
27,CLRMTK_1_QF,4,0.0,PGE_valley,Gas,35.6024
28,CLRMTK_1_QF,5,0.0,PGE_valley,Gas,35.6024
29,CLRMTK_1_QF,6,0.0,PGE_valley,Gas,35.6024
30,CLRMTK_1_QF,7,0.0,PGE_valley,Gas,35.6024
31,CLRMTK_1_QF,8,0.0,PGE_valley,Gas,35.6024
32,CLRMTK_1_QF,9,0.0,PGE_valley,Gas,35.6024
33,CLRMTK_1_QF,10,0.0,PGE_valley,Gas,35.6024
34,CLRMTK_1_QF,11,0.0,PGE_valley,Gas,35.6024
35,CLRMTK_1_QF,12,0.0,PGE_valley,Gas,35.6024
36,CLRMTK_1_QF,13,0.0,PGE_valley,Gas,35.6024
37,CLRMTK_1_QF,14,0.0,PGE_valley,Gas,35.6024
38,CLRMTK_1_QF,15,0.0,PGE_valley,Gas,35.6024
39,CLRMTK_1_QF,16,0.0,PGE_valley,Gas,35.6024
40,CLRMTK_1_QF,17,0.0,PGE_valley,Gas,35.6024
41,CLRMTK_1_QF,18,0.0,PGE_valley,Gas,35.6024
42,CLRMTK_1_QF,19,0.0,PGE_valley,Gas,35.6024
43,CLRMTK_1_QF,20,0.0,PGE_valley,Gas,35.6024
