,Albany,Goshen,Harrisburg,Jasper,Jefferson,Mehama,Monroe,Salem,Vida,Waterloo,BLU5A,CGR5A,DET5A,DOR5A,FAL5A,FOS_loc,FRN5M,GPR5A,GPR5H,HCR5A,HCR5H,LOP_loc,LOP5E,DEX_loc,BCL_loc,COT5A
676,34.26279430217006,11.84887021135145,1.0343960370582883,30.94090689602346,173.97646874586047,44.752157113832425,-3.0029846859912164,-47.23574553432346,26.082341293535872,-1074.395092050228,3398.8073893076808,3064.4715105681157,1845.960270272338,451.7362321358117,2025.7407556197008,3180.1938204595635,1166.7438804353965,7271.394869821207,3483.43338697443,769.6774591215857,2883.920470146654,0.20536753979225664,0.0,0.0,0.0,8402.420341507695
677,44.906893251503455,18.32366267657082,11.25132531537085,43.224562817291215,114.7083090592965,28.468127735847183,16.51641577295169,146.95565277345077,23.312942634121338,-514.1639163053981,1498.9968513170206,2722.93973127481,1173.351015335865,758.1072408959446,2376.6871810398616,2118.457564113298,2419.559030738978,4654.429279848313,3594.3229610451813,848.4196775619783,2883.920470146654,0.2266019973778667,0.0,0.0,0.0,24590.56962331151
678,36.63810901507393,41.30917592809958,16.876987973056277,33.316519597778075,43.03211594169234,19.060702238174546,28.52835451691655,209.93664681921533,20.793513449903376,240.9964894641369,581.527371994702,2024.3520009021395,850.6148742784504,462.77662884788856,1762.5309365545813,1388.4243352220394,1616.2271786359179,3045.905314157193,3535.126271127712,737.5151445473406,2883.920470146654,0.19702543145505275,0.0,0.0,0.0,16727.754257863944
679,14.117436501221144,39.819973661099134,17.149197456492672,23.408476378264943,-1.5840042677923565,14.129215543775821,11.636565658215964,188.94298213729385,17.853083044301727,483.89658469023385,572.2600035166988,1657.981546751139,677.778202140596,386.4138849226902,1123.0285613445121,1000.1240309442557,535.5545680687065,2307.1757891731218,3476.763337406265,669.8633794084117,2883.920470146654,0.17897614250728427,0.0,0.0,0.0,10252.494545142416
680,7.058718250610572,18.64740229983179,10.625243503467152,18.94695984082336,-41.712112385198715,10.954842143715641,57.807455205330925,141.70723660297037,16.287484752281166,934.4800685461674,637.1315828627213,1397.1754607453415,572.4609028565949,309.1311079381522,826.6738021008213,770.86923875073,277.34075846415163,1806.7461109581072,3458.4207010938094,614.4111129010928,2865.1937138470007,0.16411202219735727,0.0,0.0,0.0,7477.383239690334
681,8.43684895668216,14.244543423482616,7.213551311064378,16.687230685495802,-45.27612198773152,9.219421606097324,27.777608345418763,104.96832340960769,15.017902944045995,928.5788906840917,498.12105569267294,1226.4095710986887,515.279424410987,243.80876072503074,688.2449342962027,650.5104728491291,334.72160504294163,1571.6958075540847,3470.0932878380986,611.0839769106536,2865.1937138470007,0.1632019740151168,0.0,0.0,0.0,6166.914012115739
682,8.7393654531369,13.791307950917265,5.1901274841872,14.485443303381775,-47.25612732247196,8.142014688992615,0.3753730857489021,83.97465872768613,14.873183774195356,927.0560060745236,456.4178975416585,1120.8452029534849,475.22008357903565,208.8475044701207,620.005351575616,532.3009706243423,372.97550276213485,1267.3219123627014,3362.53873855143,578.9216623364086,2883.920470146654,0.15455651628383274,0.0,0.0,0.0,5935.654736661399
683,11.148293110091306,15.02151851930894,-5.87065119277818,27.58028404963889,-44.748120565134066,16.139410999850373,3.3783577717401183,47.23574553432346,19.26080587830341,850.5310544437314,2082.8410654312233,2496.2868231983434,844.153690273297,768.2276045486818,1737.184805829792,1255.8864084851575,1434.5211644697501,3464.013227124716,2993.1847437142656,1035.848338356716,2902.647226446308,0.27650297270405017,0.0,0.0,0.0,14183.902227866201
684,47.36063816719189,35.48186270940216,1.2703109227031608,70.10954558836778,48.312130167666865,36.928302856736494,-0.3753730857489021,-215.1850629896957,30.42391638905508,168.46910993346063,4480.7726591145565,4744.186897819737,1786.194318224669,1858.466779866272,4373.182401207883,3308.433219842817,1716.6436601488003,8370.823708323891,3545.131345479961,1954.137871717916,2921.3739827459613,0.5219126325148856,0.0,0.0,0.0,34534.71846784814
685,56.36890717273301,59.568090680018216,21.05086671908095,66.05362146342088,48.180129812017505,23.652335743956343,16.51641577295169,62.9809940457646,25.891575115096394,427.3594935600216,2298.3073825447977,3778.5834127268463,1266.3920650100745,1450.892134578768,3419.777945483115,2260.308966783042,2510.412037822062,5254.5116212576595,3585.151642888954,1710.1478990857129,2921.3739827459613,0.456692512787655,0.0,0.0,0.0,35074.32344390826
686,31.69700623964653,56.13645067345196,19.5083463129414,52.14759589217439,27.58807433071687,14.845076515543376,34.534323888899,167.94931745537227,20.721153864978053,313.9045901472052,1549.9673779460386,2390.72245505314,939.1330951490526,859.3108774233158,2148.5720045167573,1485.1412006786834,1826.6236160914814,3416.353257770905,3775.2480555816705,1186.6785032566231,3838.985041428988,0.3124498759025471,0.0,0.0,0.0,24821.82889876585
687,21.344219472084355,65.07166427545471,17.421406939929064,52.14759589217439,39.46810633915955,13.854440625319587,15.765669601453883,120.71357192104885,20.16858976191197,-148.6716100090766,1135.2526385553942,1766.6507492535543,766.2964230111983,655.9835713092336,1694.2913538339947,1165.6173340589567,1554.0645948422286,2783.775482711232,3925.3241708653936,1033.630247696423,4887.683394209589,0.27119435830764765,0.0,0.0,0.0,18500.74203634722
688,15.215459340205015,43.57535329092636,11.70500778776484,55.044684552850725,40.52410918435445,12.213022033488928,35.66044314614569,136.45882043249,19.41210319223817,-121.64040818924448,875.7663211713042,1471.6914853184264,699.42316855786,600.7815877488492,1557.8121883928213,972.1836031456695,1683.1714996445066,2332.088954971705,3958.674418706221,988.1593891604216,4887.683394209589,0.26391397284972423,0.0,0.0,0.0,19117.433437558793
689,21.624327339172076,35.999846106619714,14.336366127649956,48.43932240650864,35.77209638097738,10.694529063072896,3.0029846859912164,120.71357192104885,18.695085487069086,-119.16572069869645,752.9736888377614,1434.4334730318838,613.4894212893192,504.1781165181768,1353.0934402310613,821.7351457686685,2103.9643745556327,1995.219626129996,3967.0119806664284,863.9463121840275,4850.229881610282,0.2310005635920287,0.0,0.0,0.0,18963.2605872559
