,PGE_valley,SCE
0,65293.480694777,2756.2375976800813
1,65293.480694777,2756.2375976800813
2,65293.480694777,2756.2375976800813
3,65293.480694777,2756.2375976800813
4,65293.480694777,2756.2375976800813
5,65293.480694777,2756.2375976800813
6,65293.480694777,2756.2375976800813
7,49900.990576415876,7769.839461658156
8,49900.990576415876,7769.839461658156
9,49900.990576415876,7769.839461658156
10,49900.990576415876,7769.839461658156
11,49900.990576415876,7769.839461658156
12,49900.990576415876,7769.839461658156
13,49900.990576415876,7769.839461658156
14,62536.43579227672,2826.1607599111994
15,62536.43579227672,2826.1607599111994
16,62676.61959149877,2820.7741218496
17,62618.644583505586,2793.9605978138347
18,62666.91136436588,2745.6779093866903
19,62602.78017544209,2684.7651236697507
20,62559.295282490566,2625.56419130458
21,64535.60730744882,4262.490147633154
22,64180.37783504563,4205.179099177818
23,64007.260531471125,4183.1726255552385
24,64021.86109780952,4168.944213647017
25,63980.37598852994,4175.429961007561
26,63993.93801738337,4161.62207413071
27,64038.82343298527,4162.070878216391
28,62373.02553465253,2299.498641837803
29,62511.72034415652,2288.258215068071
30,62581.23003270293,2278.729179215704
31,62701.94011100702,2267.2033895242503
32,62914.33212995528,2261.054003527047
33,63329.26154437344,2244.669594472954
34,63678.91907475645,2244.257295661626
35,84036.19077498681,4951.651080926456
36,83916.60940666767,4941.711872371716
37,83789.56549024973,4923.098320747931
38,83228.28088249554,4907.758546953092
39,82755.87423887532,4889.683835255493
40,82600.11892822012,4908.193130440339
41,82823.3381058149,4921.617426759797
42,75924.28826683176,4374.873906467277
43,75482.60187420047,4380.886338155544
44,75150.53671232145,4435.982598061901
45,74903.47239507892,4493.405148179991
46,74461.90037199635,4541.153788092628
47,74499.66320616797,4592.805351592935
48,74415.63323838984,4631.2793535674655
49,75417.84295611671,4855.134834277312
50,75322.80505693366,4893.346936918937
51,75307.56340370249,4933.217642081865
52,75348.53951029966,4972.368980877705
53,75094.97128507895,4957.253997786705
54,74682.40784216777,4947.1781309136695
55,74460.09853887714,4946.1627364823435
56,69362.3149845383,5094.500127336919
57,69056.99832033442,5085.481299266741
58,68836.19294429183,5069.833645326313
59,68647.3055195116,5061.710681049104
60,68488.5838803122,5055.328374099876
61,68505.45196800845,5039.987809719875
62,68647.75429885088,5008.395187522833
63,77581.7782512315,7261.905145602661
64,77160.15773733633,7222.642549311357
65,76974.92441449346,7186.476730579674
66,76919.14344184993,7147.905426191651
67,76903.95814373139,7106.414656091016
68,76896.67488599694,7059.981712790582
69,76979.98372774533,6821.84887812862
70,87025.40940306737,6014.683549164576
71,86532.76568789633,5749.915852649595
72,86009.95711879554,5479.706921713682
73,85728.83777160768,5205.298914024994
74,85372.00736051177,4915.044277610635
75,85080.18962423879,4658.636773878946
76,85560.23585627042,4369.091274492395
77,83454.0113812364,7707.393561970611
78,83201.70586636278,7492.337152755622
79,82922.43101493578,7223.040446466142
80,82819.35517197801,7050.62430180582
81,82659.54451505217,6838.693174162179
82,82589.93256644437,6563.359696210397
83,82684.1012744186,6528.4196459705
84,71567.14328832972,3408.3235794275224
85,71694.24107773391,3302.3256882633777
86,71714.47794879696,3262.3218177830868
87,71749.91996645034,3072.8276791987983
88,71758.96168818703,3049.5545924368407
89,71641.63109840022,3025.8545296328057
90,71764.20039468113,3002.6584506844592
91,70740.68754259251,4116.166749033658
92,70313.47848966162,4125.473888228703
93,69955.9856678753,4126.652623516591
94,69676.60745414201,4149.714136915668
95,69608.8319752778,4150.391368256746
96,69518.2061457631,4142.284471486489
97,69603.90325862892,4109.965413187976
98,72375.98739773067,6866.465356299699
99,72197.30252500773,6857.767827193658
100,72268.39954892211,6890.962884058486
101,72309.4345341697,6910.4809305100825
102,72322.59224841653,6900.285425406863
103,72378.07052885683,7063.861691706386
104,72605.06458906275,7079.555970136786
105,72003.07673436744,7579.846485825949
106,71701.78104207106,7611.754551815058
107,71411.07389434252,7777.441851470015
108,71245.30694962082,7695.753074001673
109,71070.61673557211,7499.812412854748
110,70956.08642283441,7327.135359801443
111,70791.85020707475,7104.283928493267
112,71637.04693852375,7293.550323417646
113,71448.5438298512,6912.414335957523
114,71190.97735396202,6620.235395329792
115,70700.21977312674,6299.10576243827
116,70327.99385367452,5855.125088215843
117,70168.76274125984,5568.824777418018
118,70058.81140477926,5170.612500089641
119,74810.29054885394,13180.749329508904
120,74439.9180573498,12827.920332714913
121,74158.70364802965,12535.236863769978
122,73764.20149947694,12276.302524127457
123,73427.6479675009,11838.762343608792
124,73418.93517485666,11430.144570807606
125,73304.77632393713,11199.01485135737
126,77754.9250587796,14561.675970767814
127,77358.58076691527,14212.899332853813
128,77060.60263860264,13954.760063582886
129,77084.86455012897,13787.018461117288
130,77004.83911532341,13534.017161885473
131,77083.21452626304,13392.523085101453
132,77126.99764441901,13295.259610944675
133,80842.25804330404,14291.691986356658
134,80782.49569030464,14143.848969572657
135,80670.01580576118,13905.866145315053
136,80459.08121742008,13778.069929601454
137,80490.62852341031,13473.730618661692
138,80590.56010685684,13242.882992964893
139,80649.73121142169,13371.475930506087
140,80526.27458282701,13289.841932845287
141,80424.08733597075,13380.051092226326
142,80310.36696099545,13401.292571132566
143,80071.57363689822,13586.069816957708
144,79688.03993845022,13765.169664446614
145,79521.1495082844,13820.967718894663
146,79373.37993807436,14080.911754916928
147,80524.90126716984,10402.420463482027
148,80062.03809154077,10499.109131468542
149,79434.70491565402,10757.155455416825
150,78911.5361731429,10967.511061624002
151,78486.99397337326,11208.132325868977
152,78561.77055342538,11399.685389497678
153,78913.95523727023,11693.936773937005
154,63737.54734371321,10394.63605607876
155,63825.44955960112,10500.885325462044
156,63799.27989349081,10804.049110361952
157,63635.973503109904,11136.826404971853
158,63373.848359123964,11537.363679260785
159,63146.5820498938,11869.313119538254
160,63077.123536093815,12277.896725922004
161,58256.769429668544,8712.736653482893
162,57737.13419322199,9019.530310726646
163,57346.82124074637,9326.747111882865
164,56966.37328833624,9703.73506378075
165,56780.189483196664,10024.566543654648
166,56599.78301473944,10354.618423127658
167,56608.46203151143,10740.201422590331
168,53153.5061163917,11193.270120073063
169,52939.98931467405,11472.924132102804
170,52822.5643360633,11840.871754673253
171,52716.08535441535,12108.38529893393
172,52646.22218625792,12444.516910400635
173,52777.074408341396,12619.783777599532
174,52961.52974780553,12786.094543027124
175,50229.73677189306,12815.924761792721
176,50091.42465536468,12941.319277554105
177,50113.833619993835,13194.379096241879
178,50333.71070378456,13486.816027411387
179,51031.03549199691,13599.816836675309
180,51527.39169103902,13725.986211390678
181,51899.92564780413,13759.878476029151
182,47117.658561799064,9609.85587504497
183,46674.41272174446,9745.24961854389
184,46448.917228713515,9856.698068100213
185,46057.87908395144,9991.748063429271
186,45660.62728071755,10094.131688590061
187,45588.75707762025,10169.24704855
188,45661.915390978,10256.435844754638
189,41591.150651347525,7010.445328575159
190,41202.49413566346,7054.489174633646
191,40722.61758734596,7083.684029418718
192,40815.75855713756,7131.606780103433
193,40841.678959810335,7170.445507339951
194,40884.71343701698,7197.101092056979
195,40993.563410900606,7231.680242313189
196,37261.78064573159,5341.981371364148
