43102,189.85,6881,5831.1,5486.4,5385.4,5264.1,14763,23971,19711,16276,30167,2176.7,33820
41409,220.64,6861.3,5828.8,5484.2,5383.2,5262,14379,23310,19211,15907,29879,2175.9,32709
41793,209.52,6843.3,6204.1,5842.1,5732.4,5596.5,14614,23664,19501,16088,29861,2175.4,33069
42538,209.52,6819.7,6260.9,5896.4,5785.3,5647.1,14765,23833,19623,16157,29830,2174.8,33493
43211,209.52,6797.4,6350.9,5982.3,5869.1,5727.2,14975,24285,19952,16380,29790,2174.4,33949
42459,220.64,6774.9,6410.9,6039.6,5924.9,5780.6,14925,24248,19925,16353,29805,2174.2,33687
41211,220.64,6753.2,6505.7,6130.2,6013.2,5865,14779,24014,19746,16222,29806,2174.2,33097
42773,220.64,6731.4,6650,6268.2,6147.6,5993.3,15228,24734,20282,16589,29798,2173.8,34188
42421,220.64,6710,6749,6362.9,6239.7,6081.2,15249,24712,20264,16569,29789,2173.3,34103
43323,209.52,6687.1,6771.1,6384,6260.3,6100.8,15482,25022,20501,16726,29796,2172.9,34749
43265,209.52,6664.2,6688.8,6305.3,6183.7,6027.7,15405,24778,20379,16636,29796,2172.6,34663
41841,198.41,6642.6,6643,6261.5,6141,5987,15074,24146,19964,16344,29800,2172.2,33743
42733,198.41,6618.4,6548.8,6171.4,6053.3,5903.3,15208,24325,20100,16437,29805,2172.3,34231
42116,198.41,6595.4,6454.9,6081.7,5965.9,5819.8,15016,24031,19881,16285,29798,2171.7,33766
41951,198.41,6573.2,6380.9,6010.9,5896.9,5753.9,14942,23889,19779,16221,29791,2171.7,33694
44019,198.41,6552.2,6383.3,6013.2,5899.2,5756,15376,24601,20254,16545,29793,2171.2,34969
43758,198.41,6531,6468.7,6094.9,5978.8,5832,15385,24654,20266,16553,29806,2171.2,34881
55566,209.52,6507.5,6506,6130.5,6013.5,5865.2,17880,28764,23321,18630,29811,2171.2,42378
55139,209.52,6484.9,6548.9,6171.5,6053.4,5903.4,17824,28643,23229,18570,29826,2171,42182
56177,209.52,6462.2,6611.8,6231.7,6112,5959.3,18112,29122,23585,18810,29853,2170.6,42908
